year,month,NDVI,EVI,Rainfall,Temperature,Fire,BloomStage,time,Pressure_api,BloomStage_Pred,BloomClass_Multi,BloomClass_Multi_Pred
2019,1,0.1346265465590736,1935.2503131597407,88.85353485608056,281.4066905025543,,0.0134588318085854,2019-01-16 11:30:00.000000000,933.1680107526881,0.004697343420126629,1,1
2019,2,0.1785772980939929,2489.09821164672,128.9236363420343,278.5868969659455,,0.1343631245601685,2019-02-14 23:30:00.000000000,928.9398809523809,0.11377827234341992,1,1
2019,3,0.1502806450765152,3137.7335415200487,58.05369423023991,283.47795503206834,,0.0080172413793103,2019-03-16 11:30:00.000000000,930.8634408602151,0.045962121745249725,1,1
2019,4,0.1878009977468521,2532.880440710758,13.008125259568358,288.7699591855836,,0.0888669950738913,2019-04-15 23:30:00.000000000,929.6320833333333,0.09290274454609397,1,1
2019,5,0.1399066369363051,1794.6516520056246,13.753652361162386,287.53445490494045,,0.0129433497536945,2019-05-16 11:30:00.000000000,926.8680107526882,0.015226759324419348,1,1
2019,6,0.1322743200731671,1671.9383849401772,1.3764436016676886,295.97897706490016,,0.0177515833919774,2019-06-15 23:30:00.000000000,929.0651388888889,0.011374630541871851,1,1
2019,7,0.1284231854984265,1690.7830110837383,0.0,298.3251429281962,,0.0087139338494018,2019-07-16 11:30:00.000000000,930.7194892473119,0.010022273047149843,1,1
2019,8,0.1277458933455882,1655.4893464109732,0.3937690852310843,298.58370719211496,,0.0019897959183673,2019-08-16 11:30:00.000000000,930.358870967742,0.00771586910626314,1,1
2019,9,0.1292728270382145,1615.8213801900024,4.705682189813123,294.95432768857296,,0.0008972554539056974,2019-09-15 23:30:00.000000000,929.5970833333333,0.007660168895144228,1,1
2019,10,0.1242444464391679,1540.6275334271584,1.6621421110076322,288.95443577051566,,0.0,2019-10-16 11:30:00.000000000,930.6493279569892,0.0064508972554538704,0,0
2019,11,0.1211320991338903,1548.7157406755755,46.98423875800314,284.82792807534054,,0.0,2019-11-15 23:30:00.000000000,930.0279166666667,0.003635679099225866,0,0
2019,12,0.0099156063977987,1712.9943877550977,103.91372929142828,279.6180648835376,,0.0,2019-12-16 11:30:00.000000000,932.0932795698925,0.005119862772695256,0,0
2020,1,0.1487522334833332,1958.8947800844403,15.560417978008475,280.8390110740146,,0.0016819141449683,2020-01-16 11:30:00.000000000,933.805376344086,0.003942012667135775,1,1
2020,2,0.1528066146885874,2144.939701794505,13.423087272275726,283.6229520072619,,0.0030277973258268,2020-02-15 11:30:00.000000000,932.380316091954,0.004148258268824706,1,1
2020,3,0.1261673533972563,2432.967343420118,82.39273038176856,282.34467744927707,,0.0137948627726952,2020-03-16 11:30:00.000000000,930.23561827957,0.010620689655172329,1,1
2020,4,0.219174049507582,3078.444055242779,69.59619535706877,286.88904175524107,,0.2453061224489788,2020-04-15 23:30:00.000000000,929.9575,0.2844293983110481,1,1
2020,5,0.1643204187657312,2147.057699683316,4.401508124331851,292.5878483413496,,0.0210573539760731,2020-05-16 11:30:00.000000000,929.6271505376344,0.027832916959887228,1,1
2020,6,0.1465892618566938,1876.2402814919008,1.6996571238344145,295.2485411908256,,0.0169809992962701,2020-06-15 23:30:00.000000000,929.0752777777777,0.014969176636171618,1,1
2020,7,0.1392291926016751,1790.2379503870466,0.917575312359838,296.9110853565365,,0.0051301900070372,2020-07-16 11:30:00.000000000,929.935752688172,0.011914426460239184,1,1
2020,8,0.1310847756853303,1702.938394616462,2.2227805523923454,29.30766129032258,227.52707745058493,0.0,2020-08-16 11:30:00.000000000,929.9072580645161,0.0004512315270935926,0,0
2020,9,0.1281211035773887,1638.778510731873,3.694708170928547,27.33694444444444,,0.0,2020-09-15 23:30:00.000000000,931.5804166666667,0.0004204433497536925,0,0
2020,10,0.1257130306599464,1626.5368296973918,4.866220912022284,21.76854838709677,,0.0,2020-10-16 11:30:00.000000000,931.4225806451614,0.00013328641801548145,0,0
2020,11,0.1203322347658561,1545.6156491907052,18.470769026231583,12.915138888888889,,0.0,2020-11-15 23:30:00.000000000,932.3433333333332,8.972554539056975e-06,0,0
2020,12,0.1093604934615008,1475.5942496481305,25.8271687601922,8.816935483870967,,0.0,2020-12-16 11:30:00.000000000,934.3313172043011,0.0007762315270935858,0,0
2021,1,0.0530610607790399,1530.4149859254,25.67495236674295,8.993682795698925,,0.0,2021-01-16 11:30:00.000000000,932.4052419354839,3.1403940886699e-05,0,0
2021,2,0.135438505010456,1840.5713309289176,12.280997907993711,10.336458333333335,,0.0,2021-02-14 23:30:00.000000000,931.9994047619048,0.00025862068965516895,0,0
2021,3,0.1321743848245,1707.0877278325056,20.966622072918813,10.91518817204301,,0.0,2021-03-16 11:30:00.000000000,931.1461021505376,0.000161189303307528,0,0
2021,4,0.1123528491813924,1459.6372528149136,7.810779197702591,17.187916666666666,,0.0,2021-04-15 23:30:00.000000000,929.1084722222222,6.4989444053483e-05,0,0
2021,5,0.1056441573863537,1377.2632521111857,0.2704074376339135,20.68588709677419,123.0,0.0,2021-05-16 11:30:00.000000000,928.8170698924731,0.0010483638282899291,0,0
2021,6,0.1029494695120306,1339.7100906052042,1.635499885255998,26.762916666666666,163.0,0.0,2021-06-15 23:30:00.000000000,928.7723611111111,0.00102324067558057,0,0
2021,7,0.1027451392093356,1342.126681034479,1.1569770481431632,29.429973118279573,,0.0,2021-07-16 11:30:00.000000000,930.9614247311829,0.000344897959183671,0,0
2021,8,0.1039211212019291,1340.0633295214598,0.38822291325214,27.83279569892473,,0.0,2021-08-16 11:30:00.000000000,929.3775537634409,0.0005890570021111846,0,0
